x                        chebyshev                chebyshev-jackson       
-9.01901901901901892e-01 +1.17894558411428263e-02 +9.32268403832092751e-05
-8.99899899899899935e-01 +8.54825314723944851e-03 +9.60406498841104295e-05
-8.97897897897897868e-01 +4.84224274141115130e-03 +9.85341083631907644e-05
-8.95895895895895911e-01 +8.78569562378972435e-04 +1.00657649563906659e-04
-8.93893893893893843e-01 -3.12979283199843472e-03 +1.02382730493622010e-04
-8.91891891891891886e-01 -6.97522875307249324e-03 +1.03703327696325065e-04
-8.89889889889889929e-01 -1.04656128622442890e-02 +1.04636302128757741e-04
-8.87887887887887861e-01 -1.34329866975123058e-02 +1.05220655695015264e-04
-8.85885885885885904e-01 -1.57404872081094438e-02 +1.05515751368079336e-04
-8.83883883883883836e-01 -1.72873458851336981e-02 +1.05598611262247566e-04
-8.81881881881881879e-01 -1.80118833352350127e-02 +1.05560441771845870e-04
-8.79879879879879923e-01 -1.78925218816633480e-02 +1.05502561197456934e-04
-8.77877877877877855e-01 -1.69469247951867796e-02 +1.05531922728885341e-04
-8.75875875875875898e-01 -1.52294428039282392e-02 +1.05756434260473320e-04
-8.73873873873873830e-01 -1.28271052473083458e-02 +1.06280276588988087e-04
-8.71871871871871873e-01 -9.85443408208130922e-03 +1.07199413713454650e-04
-8.69869869869869916e-01 -6.44738409261008671e-03 +1.08597474059779486e-04
-8.67867867867867848e-01 -2.75672288483985728e-03 +1.10542160541071688e-04
-8.65865865865865891e-01 +1.05883917400195759e-03 +1.13082321575475042e-04
-8.63863863863863823e-01 +4.83947432519010734e-03 +1.16245785777790989e-04
-8.61861861861861867e-01 +8.43074886596179018e-03 +1.20038031270863765e-04
-8.59859859859859910e-01 +1.16895849948519537e-02 +1.24441727682556014e-04
-8.57857857857857842e-01 +1.44894768530083873e-02 +1.29417156099043140e-04
-8.55855855855855885e-01 +1.67248078786527143e-02 +1.34903480641601625e-04
-8.53853853853853817e-01 +1.83141617669535517e-02 +1.40820815901110397e-04
-8.51851851851851860e-01 +1.92025645315518911e-02 +1.47073008075204736e-04
-8.49849849849849903e-01 +1.93626387720116089e-02 +1.53551024983267226e-04
-8.47847847847847835e-01 +1.87946918727635581e-02 +1.60136831736212848e-04
-8.45845845845845878e-01 +1.75257963563811847e-02 +1.66707615090799788e-04
-8.43843843843843811e-01 +1.56079521118666076e-02 +1.73140210607214406e-04
