problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk14.mtx          1806 DS   11 23.5    0.2    0.3 2048    0.7    1.5
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk15.mtx          3948 LL   11 12.7    0.2    0.2  256    0.8    1.6
bcsstk15.mtx          3948 LL   11 12.7    0.2    0.2  512    1.8    3.6
bcsstk15.mtx          3948 LL   11 12.7    0.2    0.2 1024    3.8    7.5
bcsstk15.mtx          3948 LL   11 12.7    0.2    0.2 2048    7.8   15.3
bcsstk15.mtx          3948 LU   13 15.5    0.3    0.6  256    1.0    2.1
bcsstk15.mtx          3948 LU   13 15.5    0.3    0.6  512    2.3    4.6
bcsstk15.mtx          3948 LU   13 15.5    0.3    0.6 1024    4.8    9.5
bcsstk15.mtx          3948 LU   13 15.5    0.3    0.6 2048    9.8   18.9
bcsstk15.mtx          3948 DS   24 27.1    0.8    1.5  256    0.5    1.1
bcsstk15.mtx          3948 DS   24 27.1    0.8    1.5  512    0.8    1.5
bcsstk15.mtx          3948 DS   24 27.1    0.8    1.5 1024    1.5    2.8
bcsstk15.mtx          3948 DS   24 27.1    0.8    1.5 2048    2.2    4.3
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk16.mtx          4884 LL   15  6.8    0.3    0.3  256    1.2    2.4
bcsstk16.mtx          4884 LL   15  6.8    0.3    0.3  512    2.5    5.0
bcsstk16.mtx          4884 LL   15  6.8    0.3    0.3 1024    5.2   10.2
bcsstk16.mtx          4884 LL   15  6.8    0.3    0.3 2048   10.6   20.7
bcsstk16.mtx          4884 LU   15  6.8    0.3    0.7  256    1.2    2.4
bcsstk16.mtx          4884 LU   15  6.8    0.3    0.7  512    2.5    5.0
bcsstk16.mtx          4884 LU   15  6.8    0.3    0.7 1024    5.2   10.3
bcsstk16.mtx          4884 LU   15  6.8    0.3    0.7 2048   10.6   20.7
bcsstk16.mtx          4884 DS   17  7.7    1.3    2.2  256    0.8    1.7
bcsstk16.mtx          4884 DS   17  7.7    1.3    2.2  512    1.1    2.2
bcsstk16.mtx          4884 DS   17  7.7    1.3    2.2 1024    1.8    3.6
bcsstk16.mtx          4884 DS   17  7.7    1.3    2.2 2048    2.8    5.5
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk17.mtx         10974 LL   22  6.9    0.5    0.5  256    1.6    3.1
bcsstk17.mtx         10974 LL   22  6.9    0.5    0.5  512    3.5    6.9
bcsstk17.mtx         10974 LL   22  6.9    0.5    0.5 1024    7.5   14.6
